TIME,LABEL
1.912125000,New Point
2.464500000,New Point
3.033250000,New Point
3.598250000,New Point
4.176750000,New Point
5.038500000,New Point
5.343187500,New Point
5.900437500,New Point
6.444937500,New Point
7.253625000,New Point
7.532250000,New Point
8.052750000,New Point
8.609812500,New Point
9.413812500,New Point
9.719812500,New Point
10.244812500,New Point
10.779187500,New Point
11.569500000,New Point
11.855437500,New Point
12.407437500,New Point
12.963187500,New Point
13.764000000,New Point
14.062125000,New Point
14.616187500,New Point
15.171625000,New Point
15.967250000,New Point
16.257145833,New Point
16.818166667,New Point
17.372645833,New Point
18.170645833,New Point
18.475500000,New Point
19.017250000,New Point
19.547541667,New Point
20.351604167,New Point
20.642083333,New Point
21.199875000,New Point
21.749854167,New Point
22.548833333,New Point
22.839833333,New Point
23.394395833,New Point
23.939416667,New Point
24.730270833,New Point
25.022145833,New Point
25.582916667,New Point
26.122625000,New Point
26.927750000,New Point
27.216375000,New Point
27.764645833,New Point
28.322812500,New Point
29.101416667,New Point
29.389062500,New Point
29.937312500,New Point
30.484125000,New Point
31.276708333,New Point
31.568895833,New Point
32.124645833,New Point
32.682541667,New Point
33.486312500,New Point
33.777625000,New Point
34.332187500,New Point
34.884020833,New Point
35.676437500,New Point
35.982395833,New Point
36.535833333,New Point
37.083208333,New Point
37.874375000,New Point
38.172625000,New Point
38.736020833,New Point
39.283479167,New Point
40.093437500,New Point
40.390833333,New Point
40.944729167,New Point
41.487479167,New Point
42.286187500,New Point
42.580833333,New Point
43.145250000,New Point
43.689270833,New Point
44.493354167,New Point
44.798583333,New Point
45.349479167,New Point
45.903312500,New Point
46.718812500,New Point
47.017166667,New Point
47.573812500,New Point
48.107937500,New Point
48.919541667,New Point
49.214687500,New Point
49.747979167,New Point
50.291125000,New Point
